Name,Latitude,Longitude
Kahuku Farm,21.6832,-157.9604
Nozawa’ Farms,21.688,-157.9648
Kuilima Farms,21.6958,-158.0053
Cabaero Farms,20.8425,-156.3471
Kupa'a Farms,20.7658,-156.3513
MAʻO Organic Farms (original site),21.4645,-158.1132
MAʻO Organic Farms (new site),21.41505,-158.13707
2K Farm LLC,21.445354,-158.181649
Wong Hon Hin Inc,21.466595,-158.164714
"Hawaii Taro Farm, LLC",20.839723,-156.510438
Hawaii Seed Pro LLC Farm,20.796725,-156.359714
Cabaero Farm,20.791703,-156.358194
Kupaa Farms,20.765515,-156.35185
Hirako Farm,20.018748,-155.692546
Hirako Farm,20.002619,-155.694092
Anoano Farms,20.020913,-155.693966
